bookId,title,author,genres,description
1,The Alchemist,Paulo Coelho,Fantasy|Adventure|Philosophical,"A young shepherd named Santiago embarks on a journey from Spain to Egypt in search of treasure, but discovers that his true treasure lies in the journey itself and the wisdom he gains along the way."
2,1984,George Orwell,Science Fiction|Dystopian|Political,"A chilling vision of a totalitarian future where the government controls every aspect of life. Winston Smith rebels against the all-seeing Big Brother, but finds that love and truth are powerful weapons against oppression."
3,Pride and Prejudice,Jane Austen,Romance|Classic|Drama,"Elizabeth Bennet navigates the complexities of love, family, and society in 19th-century England. When she meets the proud Mr. Darcy, their initial misunderstandings lead to a journey of personal growth and eventual romance."
4,The Hobbit,J.R.R. Tolkien,Fantasy|Adventure|Classic,"Bilbo Baggins, a comfort-loving hobbit, is swept into an epic adventure to reclaim a treasure guarded by the fearsome dragon Smaug. Along the way, he encounters dwarves, elves, goblins, and the mysterious Gollum."
5,The Da Vinci Code,Dan Brown,Mystery|Thriller,"A Harvard symbologist and a French cryptologist uncover a trail of clues hidden in the works of Leonardo da Vinci. As they race through Europe, they uncover a secret that has been protected for centuries by a mysterious society."
6,To Kill a Mockingbird,Harper Lee,Drama|Classic|Legal,"In the racially charged South of the 1930s, a young girl named Scout witnesses her father, Atticus Finch, defend a black man wrongly accused of a crime. Through her innocent eyes, we see the harsh realities of prejudice, injustice, and moral courage."
7,The Great Gatsby,F. Scott Fitzgerald,Classic|Drama|Romance,"A mysterious millionaire, Jay Gatsby, throws lavish parties in hopes of reuniting with his lost love, Daisy Buchanan. Through the eyes of narrator Nick Carraway, we explore the decadence and emptiness of the American Dream in the Jazz Age."
8,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy|Adventure|Children,"On his 11th birthday, Harry Potter discovers he is a wizard and is invited to attend Hogwarts School of Witchcraft and Wizardry. There, he makes friends, learns magic, and uncovers the truth about his parents' mysterious death."
9,The Catcher in the Rye,J.D. Salinger,Classic|Drama,"Teenager Holden Caulfield narrates his experiences in New York City after being expelled from prep school. His cynical and rebellious voice captures the angst and alienation of adolescence as he searches for authenticity in a world he sees as phony."
10,The Shining,Stephen King,Horror|Thriller|Supernatural,"Jack Torrance takes a job as winter caretaker of the isolated Overlook Hotel, hoping to write in peace. But the hotel has a dark history, and as the snow traps the family inside, supernatural forces begin to drive Jack toward madness."
