bookId,title,author,genres,description
101,The Silent Patient,Alex Michaelides,Mystery|Thriller,"A woman shoots her husband and never speaks again. A therapist tries to uncover why."
102,Where the Crawdads Sing,Delia Owens,Mystery|Drama,"A young woman raises herself in the marshes and becomes a suspect in a murder case."
103,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical|Romance,"An aging Hollywood star reveals the truth about her seven marriages."
104,Project Hail Mary,Andy Weir,Science Fiction|Adventure,"A lone astronaut with amnesia on a spaceship must save humanity."
105,Klara and the Sun,Kazuo Ishiguro,Science Fiction|Drama,"An AI companion learns about love and sacrifice."
106,Normal People,Sally Rooney,Romance|Drama,"The complex relationship between two young people from different backgrounds."
107,The Midnight Library,Matt Haig,Science Fiction|Fantasy,"A woman finds a library between life and death with books offering different lives."
108,The Four Winds,Kristin Hannah,Historical|Drama,"A woman fights for survival during the Great Depression."
109,The Vanishing Half,Brit Bennett,Drama|Historical,"The lives of twin sisters who choose different paths in a racially divided America."
110,The Guest List,Lucy Foley,Mystery|Thriller,"A wedding on a remote island leads to murder and secrets."
111,The Plot,Jean Hanff Korelitz,Mystery|Thriller,"A writer steals a plot from a student and faces consequences."
112,The Last Thing He Told Me,Laura Dave,Mystery|Thriller,"A woman's husband disappears, leaving only a note."
113,The House in the Cerulean Sea,TJ Klune,Fantasy|Comedy,"A caseworker finds himself in a magical orphanage."
114,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy|Romance,"A woman makes a deal to live forever but is forgotten by everyone."
115,The Song of Achilles,Madeline Miller,Historical|Fantasy,"The story of Achilles and his lover Patroclus."
116,Circe,Madeline Miller,Historical|Fantasy,"The story of the powerful witch Circe from Greek mythology."
117,The Book of Longings,Sue Monk Kidd,Historical|Drama,"The fictional story of Jesus' wife."
118,The Dictionary of Lost Words,Pip Williams,Historical|Drama,"A young woman helps compile a dictionary while women's voices are being erased."
119,The Night Circus,Erin Morgenstern,Fantasy|Romance,"A magical competition between two young illusionists."
120,The Starless Sea,Erin Morgenstern,Fantasy,"A mysterious book leads a young man to a hidden world."
121,The Institute,Stephen King,Horror|Thriller,"Children with special abilities are held in a secret facility."
122,Billy Summers,Stephen King,Crime|Thriller,"A hitman takes on one last job before retiring."
123,The Outsider,Stephen King,Horror|Mystery,"A detective investigates a murder that seems impossible."
124,The Stand,Stephen King,Horror|Fantasy,"A post-apocalyptic battle between good and evil."
125,It,Stephen King,Horror|Thriller,"A group of children face a terrifying entity that returns every 27 years."
126,The Dark Tower I: The Gunslinger,Stephen King,Fantasy|Western,"The first book in the Dark Tower series."
127,The Dark Tower II: The Drawing of the Three,Stephen King,Fantasy|Western,"The second book in the Dark Tower series."
128,The Dark Tower III: The Waste Lands,Stephen King,Fantasy|Western,"The third book in the Dark Tower series."
129,The Dark Tower IV: Wizard and Glass,Stephen King,Fantasy|Western,"The fourth book in the Dark Tower series."
130,The Dark Tower V: Wolves of the Calla,Stephen King,Fantasy|Western,"The fifth book in the Dark Tower series."
131,The Dark Tower VI: Song of Susannah,Stephen King,Fantasy|Western,"The sixth book in the Dark Tower series."
132,The Dark Tower VII: The Dark Tower,Stephen King,Fantasy|Western,"The final book in the Dark Tower series."
133,The Brothers Karamazov,Fyodor Dostoevsky,Classic|Drama,"A philosophical novel about three brothers and their father."
134,Crime and Punishment,Fyodor Dostoevsky,Classic|Crime,"A poor student commits murder and grapples with guilt."
135,War and Peace,Leo Tolstoy,Classic|Historical,"An epic novel set during the Napoleonic Wars."
136,Anna Karenina,Leo Tolstoy,Classic|Romance,"A married woman's affair leads to tragedy."
137,The Idiot,Fyodor Dostoevsky,Classic|Drama,"A man returns to Russia and becomes entangled in a love triangle."
138,The Master and Margarita,Mikhail Bulgakov,Fantasy|Classic,"A satire about the devil visiting Soviet Russia."
139,The Metamorphosis,Franz Kafka,Classic|Fantasy,"A man wakes up transformed into a giant insect."
140,The Trial,Franz Kafka,Classic|Drama,"A man is arrested and tried for an unknown crime."


    
