movieId,title,genres,description
129,KGF: Chapter 2 (2022),Action|Crime|Drama,"The epic conclusion of the KGF saga."
130,RRR (2022),Action|Adventure|Drama|Historical,"Two legendary revolutionaries fight against British colonial rule."
131,Baahubali 2: The Conclusion (2017),Action|Adventure|Drama|Fantasy,"The epic conclusion to the Baahubali saga."
132,The Kashmir Files (2022),Drama|History,"A retired professor uncovers the truth behind the exodus of Kashmiri Pandits."
133,Drishyam 2 (2022),Crime|Drama|Thriller,"Seven years after the events of Drishyam, a family's past catches up with them."
134,Vikram Vedha (2017),Action|Crime|Drama,"A police officer and a gangster engage in a cat-and-mouse game."
135,Kaithi (2019),Action|Crime|Thriller,"A convict on parole must escort a police informant while avoiding a deadly gang."
136,Asuran (2019),Action|Drama,"A father and son must face the consequences of a land dispute."
137,Soorarai Pottru (2020),Drama,"A man dreams of making air travel affordable for the common man."
138,Jersey (2019),Drama|Sports,"A cricketer makes a comeback for his son's dream."
139,Mahanati (2018),Biography|Drama,"The story of legendary South Indian actress Savitri."
140,Natsamrat (2016),Drama,"A retired stage actor faces the challenges of aging."
141,Masaan (2015),Drama|Romance,"Four lives intersect along the Ganges river."
142,Udta Punjab (2016),Action|Crime|Drama,"The widespread drug problem in Punjab connects several lives."
