movieId,title,genres,description
1,The Shawshank Redemption (1994),Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather (1972),Crime|Drama,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight (2008),Action|Crime|Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Pulp Fiction (1994),Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
5,Forrest Gump (1994),Drama|Romance,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
6,The Matrix (1999),Action|Sci-Fi,"A computer programmer discovers that his reality is a simulation created by machines, and joins a rebellion to break free."
7,Goodfellas (1990),Crime|Drama,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
8,The Silence of the Lambs (1991),Crime|Drama|Thriller,A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer.
9,Saving Private Ryan (1998),Drama|War,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
10,The Lion King (1994),Animation|Adventure|Drama,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. He returns years later to reclaim his throne."
11,Baahubali: The Beginning (2015),Action|Adventure|Drama|Fantasy,"In ancient India, a brave warrior is raised by a tribal community and discovers his true identity to avenge his mother's death and fulfill his destiny."
12,Baahubali 2: The Conclusion (2017),Action|Adventure|Drama|Fantasy,"The epic conclusion to the Baahubali saga, revealing the secrets of the past and culminating in a colossal war for the throne of Mahishmati."
13,RRR (2022),Action|Adventure|Drama|Historical,"Two legendary revolutionaries, Alluri Sitarama Raju and Komaram Bheem, embark on a daring mission to fight against British colonial rule."
14,Pushpa: The Rise (2021),Action|Crime|Drama,"A laborer in the red sandalwood smuggling trade rises through the ranks to become the kingpin, facing challenges from rivals and the law."
